Sr No.,Date,Day,Temprature,Central Temp,Uper Control,Lower Control,Ub Specs,Ub Res,Ub Cal Cert,uE,Humidity,Central Humidity,Uper Control,Lower Control,Ub Specs,Ub Res,Ub Cal Cert,Ub Hys,uE
1,2-Nov-20,Thursday,26.9,25.1,28.7,21.5,0.288675135,0.028867513,0.25,7.66E-01,54.3,53.2,59,47.4,1.443375673,0.028867513,0.55,0.577350269,3.30E+00
2,3-Nov-20,Friday,26.8,25.1,28.7,21.5,0.288675135,0.028867513,0.25,7.66E-01,55.2,53.2,59,47.4,1.443375673,0.028867513,0.55,0.577350269,3.30E+00
3,6-Nov-20,Monday,24.9,25.1,28.7,21.5,0.288675135,0.028867513,0.25,7.66E-01,53.5,53.2,59,47.4,1.443375673,0.028867513,0.55,0.577350269,3.30E+00
4,7-Nov-20,Tuesday,23.5,25.1,28.7,21.5,0.288675135,0.028867513,0.25,7.66E-01,54,53.2,59,47.4,1.443375673,0.028867513,0.55,0.577350269,3.30E+00
5,8-Nov-20,Wednesday,24.3,25.1,28.7,21.5,0.288675135,0.028867513,0.25,7.66E-01,52,53.2,59,47.4,1.443375673,0.028867513,0.55,0.577350269,3.30E+00
6,9-Nov-20,Thursday,25.2,25.1,28.7,21.5,0.288675135,0.028867513,0.25,7.66E-01,55,53.2,59,47.4,1.443375673,0.028867513,0.55,0.577350269,3.30E+00
7,10-Nov-20,Friday,26.1,25.1,28.7,21.5,0.288675135,0.028867513,0.25,7.66E-01,55.5,53.2,59,47.4,1.443375673,0.028867513,0.55,0.577350269,3.30E+00
8,13-Nov-20,Monday,26.5,25.1,28.7,21.5,0.288675135,0.028867513,0.25,7.66E-01,54.5,53.2,59,47.4,1.443375673,0.028867513,0.55,0.577350269,3.30E+00
9,14-Nov-20,Tuesday,25,25.1,28.7,21.5,0.288675135,0.028867513,0.25,7.66E-01,54,53.2,59,47.4,1.443375673,0.028867513,0.55,0.577350269,3.30E+00
10,15-Nov-20,Wednesday,24.3,25.1,28.7,21.5,0.288675135,0.028867513,0.25,7.66E-01,53,53.2,59,47.4,1.443375673,0.028867513,0.55,0.577350269,3.30E+00
11,16-Nov-20,Thursday,23.5,25.1,28.7,21.5,0.288675135,0.028867513,0.25,7.66E-01,51.4,53.2,59,47.4,1.443375673,0.028867513,0.55,0.577350269,3.30E+00
12,17-Nov-20,Friday,22.9,25.1,28.7,21.5,0.288675135,0.028867513,0.25,7.66E-01,50.1,53.2,59,47.4,1.443375673,0.028867513,0.55,0.577350269,3.30E+00
13,20-Nov-20,Monday,26.1,25.1,28.7,21.5,0.288675135,0.028867513,0.25,7.66E-01,54,53.2,59,47.4,1.443375673,0.028867513,0.55,0.577350269,3.30E+00
14,21-Nov-20,Tuesday,25.4,25.1,28.7,21.5,0.288675135,0.028867513,0.25,7.66E-01,54.9,53.2,59,47.4,1.443375673,0.028867513,0.55,0.577350269,3.30E+00
15,22-Nov-20,Wednesday,24.5,25.1,28.7,21.5,0.288675135,0.028867513,0.25,7.66E-01,53.5,53.2,59,47.4,1.443375673,0.028867513,0.55,0.577350269,3.30E+00
16,23-Nov-20,Thursday,26.2,25.1,28.7,21.5,0.288675135,0.028867513,0.25,7.66E-01,50.1,53.2,59,47.4,1.443375673,0.028867513,0.55,0.577350269,3.30E+00
17,24-Nov-20,Friday,25.1,25.1,28.7,21.5,0.288675135,0.028867513,0.25,7.66E-01,49.2,53.2,59,47.4,1.443375673,0.028867513,0.55,0.577350269,3.30E+00
